Iteration 448, Best Fitness: 1.3393
Iteration 449, Best Fitness: 1.3393
Iteration 450, Best Fitness: 1.3393
Iteration 451, Best Fitness: 1.3393
Iteration 452, Best Fitness: 1.3393
Iteration 453, Best Fitness: 1.3393
Iteration 454, Best Fitness: 1.3393
Iteration 455, Best Fitness: 1.3393
Iteration 456, Best Fitness: 1.3393
Iteration 457, Best Fitness: 1.3393
Iteration 458, Best Fitness: 1.3393
Iteration 459, Best Fitness: 1.3393
Iteration 460, Best Fitness: 1.3393
Iteration 461, Best Fitness: 1.3393
Iteration 462, Best Fitness: 1.3393
Iteration 463, Best Fitness: 1.3393
Iteration 464, Best Fitness: 1.3393
Iteration 465, Best Fitness: 1.3393
Iteration 466, Best Fitness: 1.3393
Iteration 467, Best Fitness: 1.3393
Iteration 468, Best Fitness: 1.3393
Iteration 469, Best Fitness: 1.3393
Iteration 470, Best Fitness: 1.3393
Iteration 471, Best Fitness: 1.3393
Iteration 472, Best Fitness: 1.3393
Iteration 473, Best Fitness: 1.3393
Iteration 474, Best Fitness: 1.3393
Iteration 475, Best Fitness: 1.3393
Iteration 476, Best Fitness: 1.3393
Iteration 477, Best Fitness: 1.3393
Iteration 478, Best Fitness: 1.3393
Iteration 479, Best Fitness: 1.3393
Iteration 480, Best Fitness: 1.3393
Iteration 481, Best Fitness: 1.3393
Iteration 482, Best Fitness: 1.3393
Iteration 483, Best Fitness: 1.3393
Iteration 484, Best Fitness: 1.3393
Iteration 485, Best Fitness: 1.3393
Iteration 486, Best Fitness: 1.3393
Iteration 487, Best Fitness: 1.3393
Iteration 488, Best Fitness: 1.3393
Iteration 489, Best Fitness: 1.3393
Iteration 490, Best Fitness: 1.3393
Iteration 491, Best Fitness: 1.3393
Iteration 492, Best Fitness: 1.3393
Iteration 493, Best Fitness: 1.3393
Iteration 494, Best Fitness: 1.3393
Iteration 495, Best Fitness: 1.3393
Iteration 496, Best Fitness: 1.3393
Iteration 497, Best Fitness: 1.3393
Iteration 498, Best Fitness: 1.3393
Iteration 499, Best Fitness: 1.3393
Iteration 500, Best Fitness: 1.3393
Iteration 501, Best Fitness: 1.3393
Iteration 502, Best Fitness: 1.3393
Iteration 503, Best Fitness: 1.3393
Iteration 504, Best Fitness: 1.3393
Iteration 505, Best Fitness: 1.3393
Iteration 506, Best Fitness: 1.3393
Iteration 507, Best Fitness: 1.3393
Iteration 508, Best Fitness: 1.3393
Iteration 509, Best Fitness: 1.3393
Iteration 510, Best Fitness: 1.3393
Iteration 511, Best Fitness: 1.3393
Iteration 512, Best Fitness: 1.3393
Iteration 513, Best Fitness: 1.3393
Iteration 514, Best Fitness: 1.3393
Iteration 515, Best Fitness: 1.3393
Iteration 516, Best Fitness: 1.3393
Iteration 517, Best Fitness: 1.3393
Iteration 518, Best Fitness: 1.3393
Iteration 519, Best Fitness: 1.3393
Iteration 520, Best Fitness: 1.3393
Iteration 521, Best Fitness: 1.3393
Iteration 522, Best Fitness: 1.3393
Iteration 523, Best Fitness: 1.3393
Iteration 524, Best Fitness: 1.3393
Iteration 525, Best Fitness: 1.3393
Iteration 526, Best Fitness: 1.3393
Iteration 527, Best Fitness: 1.3393
Iteration 528, Best Fitness: 1.3393
Iteration 529, Best Fitness: 1.3393
Iteration 530, Best Fitness: 1.3393
Iteration 531, Best Fitness: 1.3393
Iteration 532, Best Fitness: 1.3393
Iteration 533, Best Fitness: 1.3393
Iteration 534, Best Fitness: 1.3393
Iteration 535, Best Fitness: 1.3393
Iteration 536, Best Fitness: 1.3393
Iteration 537, Best Fitness: 1.3393
Iteration 538, Best Fitness: 1.3393
Iteration 539, Best Fitness: 1.3393
Iteration 540, Best Fitness: 1.3393
Iteration 541, Best Fitness: 1.3393
